@RELATION wfshell

@ATTRIBUTE crashtime  DATE "yyyy-MM-dd HH:mm:ss"
@ATTRIBUTE crashcount   NUMERIC

@DATA
"2023-11-09 08:07:00","1"
"2023-11-09 09:07:00","1"
"2023-11-09 10:07:00","1"
"2023-11-09 11:07:00","1"
"2023-11-09 12:07:00","1"
"2023-11-09 13:07:00","1"
"2023-11-09 14:07:00","1"
"2023-11-09 15:07:00","1"
"2023-11-09 16:07:00","1"
"2023-11-09 17:07:00","1"
"2023-11-09 18:07:00","1"
"2023-11-09 19:07:00","77"
"2023-11-09 20:07:00","1"
"2023-11-09 21:07:00","4"
"2023-11-09 22:07:00","1"
"2023-11-09 23:07:00","1"
"2023-11-10 00:07:00","1"
"2023-11-10 01:07:00","1"
"2023-11-10 02:07:00","1"
"2023-11-10 03:07:00","1"
"2023-11-10 04:07:00","1"
"2023-11-10 05:07:00","1"
"2023-11-10 06:07:00","1"
"2023-11-10 07:07:00","1"
"2023-11-10 08:07:00","1"
"2023-11-10 09:07:00","1"
"2023-11-10 10:07:00","1"
"2023-11-10 11:07:00","1"
"2023-11-10 12:07:00","1"
"2023-11-10 13:07:00","1"
"2023-11-10 14:07:00","1"
"2023-11-10 15:07:00","1"
"2023-11-10 16:07:00","1"
"2023-11-10 17:07:00","1"
"2023-11-10 18:07:00","1"
"2023-11-10 19:07:00","95"
"2023-11-10 20:07:00","7"
"2023-11-10 21:07:00","6"
"2023-11-10 22:07:00","1"
"2023-11-10 23:07:00","1"
"2023-11-11 00:07:00","1"
"2023-11-11 01:07:00","1"
"2023-11-11 02:07:00","1"
"2023-11-11 03:07:00","1"
"2023-11-11 04:07:00","1"
"2023-11-11 05:07:00","1"
"2023-11-11 06:07:00","1"
"2023-11-11 07:07:00","1"
"2023-11-11 08:07:00","1"
"2023-11-11 09:07:00","1"
"2023-11-11 10:07:00","1"
"2023-11-11 11:07:00","1"
"2023-11-11 12:07:00","1"
"2023-11-11 13:07:00","1"
"2023-11-11 14:07:00","1"
