@RELATION zscaler

@ATTRIBUTE crashtime  DATE "yyyy-MM-dd HH:mm:ss"
@ATTRIBUTE crashcount   NUMERIC

@DATA
"2023-11-16 18:40:00","1"
"2023-11-16 19:40:00","1"
"2023-11-16 20:40:00","1"
"2023-11-16 21:40:00","1"
"2023-11-16 22:40:00","1"
"2023-11-16 23:40:00","1"
"2023-11-17 00:40:00","1"
"2023-11-17 01:40:00","1"
"2023-11-17 02:40:00","1"
"2023-11-17 03:40:00","1"
"2023-11-17 04:40:00","1"
"2023-11-17 05:40:00","1"
"2023-11-17 06:40:00","1"
"2023-11-17 07:40:00","1"
"2023-11-17 08:40:00","1"
"2023-11-17 09:40:00","1"
"2023-11-17 10:40:00","1"
"2023-11-17 11:40:00","1"
"2023-11-17 12:40:00","1"
"2023-11-17 13:40:00","1"
"2023-11-17 14:40:00","1"
"2023-11-17 15:40:00","1"
"2023-11-17 16:40:00","1"
"2023-11-17 17:40:00","1"
"2023-11-17 18:40:00","1"
"2023-11-17 19:40:00","1"
"2023-11-17 20:40:00","1"
"2023-11-17 21:40:00","1"
"2023-11-17 22:40:00","1"
"2023-11-17 23:40:00","1"
"2023-11-18 00:40:00","1"
"2023-11-18 01:40:00","1"
"2023-11-18 02:40:00","1"
"2023-11-18 03:40:00","1"
"2023-11-18 04:40:00","1"
"2023-11-18 05:40:00","1"
"2023-11-18 06:40:00","1"
"2023-11-18 07:40:00","1"
"2023-11-18 08:40:00","1"
"2023-11-18 09:40:00","1"
"2023-11-18 10:40:00","1"
"2023-11-18 11:40:00","1"
"2023-11-18 12:40:00","1"
"2023-11-18 13:40:00","1"
"2023-11-18 14:40:00","1"
"2023-11-18 15:40:00","1"
"2023-11-18 16:40:00","1"
"2023-11-18 17:40:00","1"
"2023-11-18 18:40:00","1"
"2023-11-18 19:40:00","1"
"2023-11-18 20:40:00","1"
"2023-11-18 21:40:00","1"
"2023-11-18 22:40:00","1"
"2023-11-18 23:40:00","1"
"2023-11-19 00:40:00","1"
"2023-11-19 01:40:00","1"
"2023-11-19 02:40:00","1"
"2023-11-19 03:40:00","1"
"2023-11-19 04:40:00","1"
"2023-11-19 05:40:00","1"
"2023-11-19 06:40:00","1"
"2023-11-19 07:40:00","1"
"2023-11-19 08:40:00","1"
"2023-11-19 09:40:00","1"
"2023-11-19 10:40:00","1"
"2023-11-19 11:40:00","1"
"2023-11-19 12:40:00","1"
"2023-11-19 13:40:00","1"
"2023-11-19 14:40:00","1"
"2023-11-19 15:40:00","1"
"2023-11-19 16:40:00","1"
"2023-11-19 17:40:00","1"
"2023-11-19 18:40:00","1"
"2023-11-19 19:40:00","1"
"2023-11-19 20:40:00","1"
"2023-11-19 21:40:00","1"
"2023-11-19 22:40:00","1"
"2023-11-19 23:40:00","1"
"2023-11-20 00:40:00","1"
"2023-11-20 01:40:00","1"
"2023-11-20 02:40:00","1"
"2023-11-20 03:40:00","1"
"2023-11-20 04:40:00","1"
"2023-11-20 05:40:00","1"
"2023-11-20 06:40:00","1"
"2023-11-20 07:40:00","1"
"2023-11-20 08:40:00","1"
"2023-11-20 09:40:00","1"
"2023-11-20 10:40:00","1"
"2023-11-20 11:40:00","1"
"2023-11-20 12:40:00","1"
"2023-11-20 13:40:00","1"
"2023-11-20 14:40:00","1"
"2023-11-20 15:40:00","1"
"2023-11-20 16:40:00","1"
"2023-11-20 17:40:00","1"
"2023-11-20 18:40:00","1"
"2023-11-20 19:40:00","1"
"2023-11-20 20:40:00","1"
"2023-11-20 21:40:00","1"
"2023-11-20 22:40:00","1"
"2023-11-20 23:40:00","1"
"2023-11-21 00:40:00","1"
"2023-11-21 01:40:00","1"
"2023-11-21 02:40:00","1"
"2023-11-21 03:40:00","1"
"2023-11-21 04:40:00","1"
"2023-11-21 05:40:00","1"
"2023-11-21 06:40:00","1"
"2023-11-21 07:40:00","1"
"2023-11-21 08:40:00","1"
"2023-11-21 09:40:00","1"
"2023-11-21 10:40:00","1"
"2023-11-21 11:40:00","1"
"2023-11-21 12:40:00","1"
"2023-11-21 13:40:00","1"
"2023-11-21 14:40:00","1"
"2023-11-21 15:40:00","1"
"2023-11-21 16:40:00","1"
"2023-11-21 17:40:00","1"
"2023-11-21 18:40:00","1"
"2023-11-21 19:40:00","1"
"2023-11-21 20:40:00","1"
"2023-11-21 21:40:00","1"
"2023-11-21 22:40:00","1"
"2023-11-21 23:40:00","1"
"2023-11-22 00:40:00","1"
"2023-11-22 01:40:00","1"
"2023-11-22 02:40:00","1"
"2023-11-22 03:40:00","1"
"2023-11-22 04:40:00","1"
"2023-11-22 05:40:00","1"
"2023-11-22 06:40:00","1"
"2023-11-22 07:40:00","1"
"2023-11-22 08:40:00","1"
"2023-11-22 09:40:00","1"
"2023-11-22 10:40:00","1"
"2023-11-22 11:40:00","1"
"2023-11-22 12:40:00","1"
"2023-11-22 13:40:00","1"
"2023-11-22 14:40:00","1"
"2023-11-22 15:40:00","1"
"2023-11-22 16:40:00","1"
"2023-11-22 17:40:00","1"
"2023-11-22 18:40:00","1"
"2023-11-22 19:40:00","1"
"2023-11-22 20:40:00","1"
"2023-11-22 21:40:00","1"
"2023-11-22 22:40:00","1"
"2023-11-22 23:40:00","1"
"2023-11-23 00:40:00","1"
"2023-11-23 01:40:00","1"
"2023-11-23 02:40:00","1"
"2023-11-23 03:40:00","1"
"2023-11-23 04:40:00","1"
"2023-11-23 05:40:00","1"
"2023-11-23 06:40:00","1"
"2023-11-23 07:40:00","1"
"2023-11-23 08:40:00","1"
"2023-11-23 09:40:00","1"
"2023-11-23 10:40:00","1"
"2023-11-23 11:40:00","1"
"2023-11-23 12:40:00","1"
"2023-11-23 13:40:00","1"
"2023-11-23 14:40:00","1"
"2023-11-23 15:40:00","1"
"2023-11-23 16:40:00","1"
"2023-11-23 17:40:00","1"
"2023-11-23 18:40:00","1"
"2023-11-23 19:40:00","1"
"2023-11-23 20:40:00","1"
"2023-11-23 21:40:00","1"
"2023-11-23 22:40:00","1"
"2023-11-23 23:40:00","1"
"2023-11-24 00:40:00","1"
"2023-11-24 01:40:00","1"
"2023-11-24 02:40:00","1"
"2023-11-24 03:40:00","1"
"2023-11-24 04:40:00","1"
"2023-11-24 05:40:00","1"
"2023-11-24 06:40:00","1"
"2023-11-24 07:40:00","1"
"2023-11-24 08:40:00","1"
"2023-11-24 09:40:00","1"
"2023-11-24 10:40:00","1"
"2023-11-24 11:40:00","1"
"2023-11-24 12:40:00","1"
"2023-11-24 13:40:00","1"
"2023-11-24 14:40:00","1"
"2023-11-24 15:40:00","1"
"2023-11-24 16:40:00","1"
"2023-11-24 17:40:00","1"
"2023-11-24 18:40:00","1"
"2023-11-24 19:40:00","1"
"2023-11-24 20:40:00","1"
"2023-11-24 21:40:00","1"
"2023-11-24 22:40:00","1"
"2023-11-24 23:40:00","1"
"2023-11-25 00:40:00","1"
"2023-11-25 01:40:00","1"
"2023-11-25 02:40:00","1"
"2023-11-25 03:40:00","1"
"2023-11-25 04:40:00","1"
"2023-11-25 05:40:00","1"
"2023-11-25 06:40:00","1"
"2023-11-25 07:40:00","1"
"2023-11-25 08:40:00","1"
"2023-11-25 09:40:00","1"
"2023-11-25 10:40:00","1"
"2023-11-25 11:40:00","1"
"2023-11-25 12:40:00","1"
"2023-11-25 13:40:00","1"
"2023-11-25 14:40:00","1"
"2023-11-25 15:40:00","1"
"2023-11-25 16:40:00","1"
"2023-11-25 17:40:00","1"
"2023-11-25 18:40:00","1"
"2023-11-25 19:40:00","1"
"2023-11-25 20:40:00","1"
"2023-11-25 21:40:00","1"
"2023-11-25 22:40:00","1"
"2023-11-25 23:40:00","1"
"2023-11-26 00:40:00","1"
"2023-11-26 01:40:00","1"
"2023-11-26 02:40:00","1"
"2023-11-26 03:40:00","1"
